codigo,edad,sexo,experiencia_web,dispositivo,consentimiento,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,sus_score
P01,23,Masculino,Baja,Computadora,Sí,3,3,4,4,4,3,4,4,1,3,47.5
P02,21,Femenino,Media,Computadora,Sí,5,5,4,4,3,3,4,2,2,3,52.5
P03,25,Masculino,Alta,Computadora,Sí,3,3,3,3,3,2,1,2,4,4,50
P04,23,Femenino,Media,Computadora,Sí,4,3,3,3,3,3,2,2,3,3,52.5
P05,20,Femenino,Media,Computadora,Sí,3,4,3,2,4,2,3,2,3,4,55
P06,22,Masculino,Media,Computadora,Sí,3,1,4,2,4,3,4,2,4,3,70
P07,20,Femenino,Media,Computadora,Sí,4,2,4,1,5,2,5,1,5,1,90
P08,20,Femenino,Media,Computadora,Sí,4,2,3,3,4,4,4,2,4,2,65
P09,21,Masculino,Alta,Computadora,Sí,4,2,3,1,4,2,4,2,4,1,77.5
P10,19,Masculino,Media,Computadora,Sí,3,2,3,1,3,3,4,1,4,2,70
